Estado,Casos_Homens,Casos_Mulheres,Entrevistas_Homens,Entrevistas_Mulheres,Casos_Total,Entrevistas_Total,Taxa_relativa_Homens,Taxa_relativa_Mulheres,Taxa_relativa_Total
Rondônia,105,133,1671,1778,238,3449,0.06283662477558348,0.07480314960629922,0.06900550884314294
Acre,124,158,1685,1800,282,3485,0.07359050445103858,0.08777777777777777,0.08091822094691535
Amazonas,147,195,2669,2734,342,5403,0.055076807793180964,0.07132406730065838,0.06329816768461966
Roraima,75,153,1772,1805,228,3577,0.04232505643340858,0.08476454293628809,0.0637405647190383
Pará,120,210,2982,3243,330,6225,0.04024144869215292,0.06475485661424607,0.05301204819277108
Amapá,69,117,1339,1459,186,2798,0.05153099327856609,0.08019191226867718,0.06647605432451752
Tocantins,91,130,1420,1427,221,2847,0.06408450704225352,0.09110021023125438,0.0776255707762557
Maranhão,185,313,3704,3961,498,7665,0.04994600431965443,0.07902044938146932,0.0649706457925636
Piauí,143,187,1977,2203,330,4180,0.07233181588265047,0.08488424875170222,0.07894736842105263
Ceará,155,290,3117,3591,445,6708,0.04972730189284569,0.0807574491785018,0.06633870005963029
Rio Grande do Norte,143,231,2091,2457,374,4548,0.06838833094213295,0.09401709401709402,0.0822339489885664
Paraíba,168,257,2153,2474,425,4627,0.07803065490013934,0.10388035569927244,0.09185217203371515
Pernambuco,192,338,2623,3082,530,5705,0.07319862752573389,0.10966904607397794,0.09290096406660824
Alagoas,139,305,2113,2508,444,4621,0.06578324656885944,0.12161084529505582,0.09608309889634278
Sergipe,120,226,1793,2020,346,3813,0.06692693809258227,0.11188118811881188,0.09074219774455809
Bahia,182,291,2435,2720,473,5155,0.07474332648870637,0.10698529411764705,0.09175557710960233
Minas Gerais,319,433,3481,3848,752,7329,0.09164033323757541,0.11252598752598753,0.10260608541410833
Espírito Santo,229,295,2379,2667,524,5046,0.0962589323245061,0.11061117360329958,0.10384462940943322
Rio de Janeiro,253,410,3111,3690,663,6801,0.08132433301189328,0.1111111111111111,0.09748566387295986
São Paulo,295,438,4159,4557,733,8716,0.0709305121423419,0.09611586570111916,0.0840982101881597
Paraná,220,278,2639,2894,498,5533,0.08336491095111785,0.09606081548030408,0.0900054220133743
Santa Catarina,159,259,2558,2656,418,5214,0.062157935887412044,0.09751506024096386,0.08016877637130802
Rio Grande do Sul,197,280,2290,2552,477,4842,0.08602620087336245,0.109717868338558,0.09851301115241635
Mato Grosso do Sul,169,221,1903,2126,390,4029,0.08880714661061481,0.1039510818438382,0.0967982129560685
Mato Grosso,145,196,1779,1911,341,3690,0.08150646430578977,0.10256410256410256,0.09241192411924119
Goiás,160,217,1911,2048,377,3959,0.0837257980115123,0.10595703125,0.09522606718868401
Distrito Federal,103,145,1752,1997,248,3749,0.05878995433789954,0.07260891337005508,0.06615097359295813
